probe_relative_path,probe_code_path,probe_family_id,probe_subject_id,probe_iris_id,probe_eye,true_rank,rank1_correct,true_score,rank1_score,best_impostor_score,margin_best_impostor_minus_true,rank1_gallery_iris_id,rank1_gallery_subject_id,rank1_gallery_family_id,rank1_gallery_eye,rank1_relation_to_probe,rank1_is_twin,rank1_is_twin_same_eye,rank1_is_twin_cross_eye,best_impostor_iris_id,best_impostor_subject_id,best_impostor_family_id,best_impostor_eye,best_impostor_relation_to_probe,best_impostor_is_twin,best_impostor_is_twin_same_eye,best_impostor_is_twin_cross_eye,min_twin_rank,best_twin_score,margin_best_twin_minus_true,min_twin_same_eye_rank,best_twin_same_eye_score,min_twin_cross_eye_rank,best_twin_cross_eye_score,true_common_bits,true_best_shift
21/1R/S3211R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/21__1R__S3211R02.jpg.npz,21,F21_T1,F21_T1_R,R,310,False,0.5154566996984059,0.3437197131226982,0.3437197131226982,-0.1717369865757076,F37_T2_L,F37_T2,37,L,unrelated,False,False,False,F37_T2_L,F37_T2,37,L,unrelated,False,False,False,282.0,0.4922139170670938,-0.0232427826313121,,,282.0,0.4922139170670938,18568,-16
51/2R/S3512R06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/51__2R__S3512R06.jpg.npz,51,F51_T2,F51_T2_R,R,157,False,0.4563708477937531,0.35104,0.35104,-0.105330847793753,F57_T1_L,F57_T1,57,L,unrelated,False,False,False,F57_T1_L,F57_T1,57,L,unrelated,False,False,False,81.0,0.4401647286821705,-0.0162061191115825,112.0,0.4457603844833505,81.0,0.4401647286821705,24204,4
64/1R/S3641R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/64__1R__S3641R02.jpg.npz,64,F64_T1,F64_T1_R,R,240,False,0.4716448665113779,0.3701619778346121,0.3701619778346121,-0.1014828886767657,F17_T2_R,F17_T2,17,R,unrelated,False,False,False,F17_T2_R,F17_T2,17,R,unrelated,False,False,False,192.0,0.4616166077738516,-0.0100282587375262,192.0,0.4616166077738516,,,22324,12
34/2R/S3342R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/34__2R__S3342R01.jpg.npz,34,F34_T2,F34_T2_R,R,217,False,0.4571902848156561,0.3570806479707368,0.3570806479707368,-0.1001096368449193,F01_T1_L,F01_T1,1,L,unrelated,False,False,False,F01_T1_L,F01_T1,1,L,unrelated,False,False,False,218.0,0.4581160931525895,0.0009258083369333,218.0,0.4581160931525895,297.0,0.478682494566126,22892,16
51/2R/S3512R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/51__2R__S3512R02.jpg.npz,51,F51_T2,F51_T2_R,R,122,False,0.4450790024747763,0.3509712837837838,0.3509712837837838,-0.0941077186909925,F30_T2_R,F30_T2,30,R,unrelated,False,False,False,F30_T2_R,F30_T2,30,R,unrelated,False,False,False,114.0,0.4429710682492581,-0.0021079342255181,172.0,0.4540864926652695,114.0,0.4429710682492581,21012,-12
24/1L/S3241L06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/24__1L__S3241L06.jpg.npz,24,F24_T1,F24_T1_L,L,196,False,0.4607540173053152,0.3680414277788053,0.3680414277788053,-0.0927125895265099,F29_T1_L,F29_T1,29,L,unrelated,False,False,False,F29_T1_L,F29_T1,29,L,unrelated,False,False,False,61.0,0.4340966462315182,-0.0266573710737969,170.0,0.4558724832214765,61.0,0.4340966462315182,19416,-16
16/2R/S3162R05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/16__2R__S3162R05.jpg.npz,16,F16_T2,F16_T2_R,R,204,False,0.4490603793283452,0.356484502446982,0.356484502446982,-0.0925758768813632,F06_T1_R,F06_T1,6,R,unrelated,False,False,False,F06_T1_R,F06_T1,6,R,unrelated,False,False,False,,,,,,,,22988,-14
92/1R/S3921R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/92__1R__S3921R02.jpg.npz,92,F92_T1,F92_T1_R,R,207,False,0.4563978220180364,0.3668461298377029,0.3668461298377029,-0.0895516921803335,F93_T1_R,F93_T1,93,R,unrelated,False,False,False,F93_T1_R,F93_T1,93,R,unrelated,False,False,False,51.0,0.4229308115098609,-0.0334670105081754,90.0,0.4336123483335893,51.0,0.4229308115098609,23508,12
84/1R/S3841R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R01.jpg.npz,84,F84_T1,F84_T1_R,R,186,False,0.4775784753363228,0.3883884863912277,0.3883884863912277,-0.0891899889450951,F60_T1_R,F60_T1,60,R,unrelated,False,False,False,F60_T1_R,F60_T1,60,R,unrelated,False,False,False,130.0,0.4672832689122032,-0.0102952064241196,130.0,0.4672832689122032,142.0,0.4700058241118229,24084,0
90/2R/S3902R06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/90__2R__S3902R06.jpg.npz,90,F90_T2,F90_T2_R,R,192,False,0.4579563597658329,0.3710929916521064,0.3710929916521064,-0.0868633681137264,F37_T2_R,F37_T2,37,R,unrelated,False,False,False,F37_T2_R,F37_T2,37,R,unrelated,False,False,False,140.0,0.4481006160164271,-0.0098557437494057,140.0,0.4481006160164271,,,22548,-2
30/1L/S3301L07.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/30__1L__S3301L07.jpg.npz,30,F30_T1,F30_T1_L,L,197,False,0.4488101352508132,0.3623547505126452,0.3623547505126452,-0.0864553847381679,F22_T1_L,F22_T1,22,L,unrelated,False,False,False,F22_T1_L,F22_T1,22,L,unrelated,False,False,False,111.0,0.4328336834065304,-0.0159764518442827,111.0,0.4328336834065304,166.0,0.443587981146897,23364,4
16/2R/S3162R10.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/16__2R__S3162R10.jpg.npz,16,F16_T2,F16_T2_R,R,135,False,0.441996891996892,0.3556877323420074,0.3556877323420074,-0.0863091596548845,F74_T2_R,F74_T2,74,R,unrelated,False,False,False,F74_T2_R,F74_T2,74,R,unrelated,False,False,False,,,,,,,,25740,-2
55/2R/S3552R10.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/55__2R__S3552R10.jpg.npz,55,F55_T2,F55_T2_R,R,279,False,0.4738896041197296,0.3882184820577961,0.3882184820577961,-0.0856711220619335,F64_T2_R,F64_T2,64,R,unrelated,False,False,False,F64_T2_R,F64_T2,64,R,unrelated,False,False,False,281.0,0.4756053811659192,0.0017157770461896,281.0,0.4756053811659192,,,24856,-2
95/2R/S3952R06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/95__2R__S3952R06.jpg.npz,95,F95_T2,F95_T2_R,R,249,False,0.4760376362996834,0.3939825529642157,0.3939825529642157,-0.0820550833354676,F48_T2_R,F48_T2,48,R,unrelated,False,False,False,F48_T2_R,F48_T2,48,R,unrelated,False,False,False,106.0,0.4484068173397554,-0.0276308189599279,106.0,0.4484068173397554,297.0,0.4964709203839638,22744,0
81/1L/S3811L06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/81__1L__S3811L06.jpg.npz,81,F81_T1,F81_T1_L,L,157,False,0.4546372738450729,0.3759663288094829,0.3759663288094829,-0.07867094503559,F33_T2_L,F33_T2,33,L,unrelated,False,False,False,F33_T2_L,F33_T2,33,L,unrelated,False,False,False,162.0,0.45517578125,0.0005385074049271,162.0,0.45517578125,209.0,0.463546965072906,22772,-8
87/1L/S3871L05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/87__1L__S3871L05.jpg.npz,87,F87_T1,F87_T1_L,L,150,False,0.4532299328429804,0.3753963812721507,0.3753963812721507,-0.0778335515708297,F57_T2_R,F57_T2,57,R,unrelated,False,False,False,F57_T2_R,F57_T2,57,R,unrelated,False,False,False,92.0,0.4428605846450369,-0.0103693481979435,312.0,0.4964689265536723,92.0,0.4428605846450369,25016,8
24/1R/S3241R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/24__1R__S3241R01.jpg.npz,24,F24_T1,F24_T1_R,R,211,False,0.4751799149492967,0.3976760149048833,0.3976760149048833,-0.0775039000444133,F39_T1_L,F39_T1,39,L,unrelated,False,False,False,F39_T1_L,F39_T1,39,L,unrelated,False,False,False,42.0,0.4419593852908891,-0.0332205296584075,42.0,0.4419593852908891,115.0,0.4576916189111747,24456,0
48/2L/S3482L04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/48__2L__S3482L04.jpg.npz,48,F48_T2,F48_T2_L,L,168,False,0.4476016684045881,0.3703199455411844,0.3703199455411844,-0.0772817228634036,F04_T2_L,F04_T2,4,L,unrelated,False,False,False,F04_T2_L,F04_T2,4,L,unrelated,False,False,False,99.0,0.4374279123414071,-0.0101737560631809,99.0,0.4374279123414071,,,19180,14
35/1L/S3351L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/35__1L__S3351L02.jpg.npz,35,F35_T1,F35_T1_L,L,94,False,0.4417567567567567,0.3648353494623655,0.3648353494623655,-0.0769214072943911,F63_T2_L,F63_T2,63,L,unrelated,False,False,False,F63_T2_L,F63_T2,63,L,unrelated,False,False,False,19.0,0.4170836311651179,-0.0246731255916388,89.0,0.4411415989159891,19.0,0.4170836311651179,22200,6
